lable,text
4,خوب
4,متأسفانه جهت بانوان باشگاه و استخر نبود
3,اتاق‌ها کهنه و وسایل قدیمی سرو صدای زیاد خیابان
3,بالشت و خوشخواب تخت افتضاح بود جوری که صبح کمر و گردن درد داشتیم صبحانه خیلی افتضاح در حد یه هتل ۳ ستاره هم نبود
4,برای سمپوزیوم رفته بودم که به طور کلی صبحانه معمولی داشت و قیمت های غذا هم نسبت به کیفیت آن بسیار بالا بود . تمیزی اتاق ها خوب بود .
1,"به نسبت قیمت بالایی که داره اصلا قابل قبول نیست، بیشتر از هتل سه ستاره نباید توقع داشت، حتی مینی بار نداشت، صبحانه معمولی، پنجره های رستوران رو به مخروبه و ضایعات ساختمانی باز میشه، نظافت معمولی، شیر آب حمام خراب بود و عملا حمام قابل استفاده نبود و چون در پایان وقت متوجه شدیم امکان تغییر اتاق وجود نداشت و این برای هتل پنج ستاره با این قیمت بالا اصلا قابل قبول نیست و مشکلات دیگه که فرصت توضیح نیست، مدیریت ضعیف هتل پارسیان که در واقع هتل هیلتون رو به رایگان تصاحب کردن و با این درآمد بالا حتی توانایی مدیریت ابتدایی هتل رو هم ندارند"
3,خيلي داغون و قديميه حتي اون برج شرقي
1,"مسؤول نبودن در قبال سرو صداى زياد، اتاق كثيف"
3,تمیز نبودن موکت کف ابراه سرویس بهداشتی توالت فرنگی سیفون خوب کار نمیکرد نبود ژیلت
3,امکانات هتل در حد هتل ۵ ستاره نبود به نظرم برای برج شرقی بایستی ۴ ستاره در نظر گرفت
4,احتیاج به بازسازی خیلی زیاد احساس میشه
4,"نسبتا هتل خوبی بود ، توی گروه هتلهای پارسیان تهران من اینو خوشم اومد"
5,پرسنل حرفه ای و خوش برخورد.بهترین صبحانه ای که در هتل های 5 ستاره ایران وجود داره.
4,"خیلی هتل خوش جا و خوب و راحتی بود ، اتاق تمیز ، ملافه ها بسیار تمیز بود و مشخصات تخت خواب و بالشت‌ها بسیار راحت بودند ،صبحانه در کل خوب بود متنوع بود رضایت بخش بود .پرسنل هم در جمع خوش برخورد و محترم و منظم بودند . از نظر نکات منفی یکی سیفون دستشویی اتاق بود که باید هفت هشت بار میکشیدی تا کار کنه ،که واقعا عجیب بود .و دیگه اینکه همراه من آخر شب شارژرش از کار افتاد گوشی اش قطع بود ازشون شارژر برای چند ساعت خواستیم ، بسیار بد پاسخ دادند و گفتند صبرکنید صبح بشه برید بخرید. بسیار برخورد زشت و عجیبی بود ."
5,هتل عالی بود
3,نسبت به قیمت مناسب نبود
5,از حسن برخورد مجموعه متشكرم
2,"ضعیف بود ،سرویس بهداشتی هتل و حمام قدیمی و سرامیک ها دارای لک بود ،مینی بار خالی و صدای یخچال اتاق اذیت کننده بود. کیفیت غذای رستوران بسیار معمولی . در حد هتل ۳ ستارس"
5,خدمات خوب و اتاق ها از لحاظ آرامش و نظافت عالی بود. رفتار پرسنل بسیار خوب بود.
5,خوب بود
4,"هتل بزرگ و خوبي هست كه ضلع غربي ( ساختمان اصلي هتل) در دست باز سازي بود ، هتل با توجه به قدمت و كهنه بودن امكانات قابل قبول بود."
5,توضیح نمیخاد عالی
1,کاغذ دیواری اتاق پاره شده فن کولراتاق آب میداد صبحانه برای هتل ۵ ستاره در حدضعیف
3,رستوران وکارکنان خوبی داره ولی دکوراسیون داخلی خیلی قدیمی شده ونیاز به بازسازی داره
4,"هتل خوبی هست اتاق ها نسبتا کوچک هستن،۲تخته از مترو فاصله داره،حتما باید وسیله نقلیه داشته باشید یا با تاکسی رفت آمد کنید"
3,در حد هتل پنج ستاره نیست . نکته مثبت موقعیت مکانی و رستورانشه که تا دیروقت بازه
4,عملکرد کارکنان عالی .غذا نسبت به هتل های دیگه ضعیف و امکانات متوسط دکور اتاق ها قدیمی
4,"در کل خدمات و رسیدگی خوبی دارد ،"
5,بسیار خوب همه چیز
3,از آنجاییکه جز هتلهای ۵ ستاره میباشد انتظار می‌رود که اطاقها خیلی تمیزتر باشد ولی دارای ملحفه ها و تمیز پلاستیک کشیده نبود و روکش تخت‌ها باید بعد هر بار استفاده عوض شود ک متاسفانه نبود و برعکس کافی شاپ و رستوران ک خیلی خوب بود .
4,برخورد کارکنان هتل رستوران امکانات هتل همه چیز بسیار خوب بود فقط به نظافت اتاقها بیشتر برسن
5,برخورد کارکنان عالی.غذا متوسط.نظافت عالی. خدمات درمانی هتل غیر فعال بود.دکور هتل قدیمی شده.
5,عالی
