factory,job,degree,salary
digikala,Operator,bachelor,7500000
digikala,Operator,Doctorate,12000000
digikala,Operator,Master,9000000
digikala,programmer,bachelor,13000000
digikala,programmer,Doctorate,21000000
digikala,programmer,Master,16000000
digikala,worker,bachelor,6000000
digikala,worker,Doctorate,11000000
digikala,worker,Master,8000000
mihan,Operator,bachelor,5000000
mihan,Operator,Doctorate,9200000
mihan,Operator,Master,7600000
mihan,programmer,bachelor,10000000
mihan,programmer,Doctorate,17800000
mihan,programmer,Master,13000000
mihan,worker,bachelor,5000000
mihan,worker,Doctorate,8000000
mihan,worker,Master,6700000
snap ,Operator,bachelor,9000000
snap ,Operator,Doctorate,15000000
snap ,Operator,Master,12200000
snap ,programmer,bachelor,16000000
snap ,programmer,Doctorate,25000000
snap ,programmer,Master,19200000
snap ,worker,bachelor,7900000
snap ,worker,Doctorate,12100000
snap ,worker,Master,10000000
